Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities
IG Wealth Management,https://ia.ca/individuals,Recent Graduates|Undergraduate|Graduate,Co-ops|Full-time|Internships|Summer|Part-Time,Business & Management|Arts & Science,Banking & Financial Services,Financial Planners|Financial Planners Internships
Imperial Oil/ExxonMobil,https://www.ig.ca/en,Recent Graduates|Undergraduate|Graduate Full-time|Internships|Co-ops,Not specified,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
Isaac Operations,https://www.imperialoil.ca/en-CA,Undergraduate|Graduate|Recent Graduates,Full-time,Engineering & Technology|Business & Management,Management Consulting,Operational Consultant
Kativik Regional Government,https://www.isaacteam.com/,Recent Graduates|Undergraduate|Graduate,Full-time,Business & Management|Engineering & Technology|Law|Social Sciences|Arts & Science,Not specified,Buyer|Communication Officer|HR Advisors|Legal Advisor|Project Managers|Land Use Planner|Assistant Director Legal
Keyence,https://www.krg.ca/en-CA/,Recent Graduates|Undergraduate,Full-time,Business & Management|Engineering & Technology|Arts & Science,Manufacturing,Entry Level Technical Sales|Application Engineering Associate
Kinaxis,https://www.keyence.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer,Engineering & Technology|Business & Management,Not specified,Not specified
Klick Health,https://www.kinaxis.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer|Part-time,Not specified,Health Sciences,Not specified
LIDD,https://www.klick.com/,Undergraduate|Graduate,Internships|Co-ops|Full-Time,Business & Management|Engineering & Technology,"Supply Chain, Logistics & Transportation",Supply Chain Consultant|Project Manager|Solutions Consultant
Lumentum,https://lidd.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops,Engineering & Technology|Arts & Science,Not specified,Project Manager Analyst|Optical Algorithms|Analytics Engineer|Optical Engineer|Mechanical Designer|Process Quality Engineer|Process Engineer|Software Automation Engineer|Mechanical Designer|Embedded Software Engineers
Mackenzie Health,https://www.lumentum.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Health Sciences,Not specified,Registered Nurse|Nurse Practitioner
Magellan Aerospace Corporation,https://www.mackenziehealth.ca/,Recent Graduates|Undergraduate,Full-time|Co-ops,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
Maple Leaf Foods,https://magellan.aero/,Recent Graduates|Undergraduate,Full-time|Internships|Co-ops,All programs,Manufacturing,Leadership Track Program
MDPI,https://www.mapleleaffoods.com/,Graduate|Recent Graduates,Full-time,All Programs,Not specified,Assistant Editors|English Editors
MEDAVIE,https://www.mdpi.com/,Recent Graduate|Undergraduate|Graduate,Full-time|Summer|Co-op,Not specified,Not specified,Not specified
Method,https://www.medaviebc.ca/en/,Recent Graduates|Undergraduate,Full-time,Engineering & Technology,Not specified,Not specified
Multiplex,https://www.method.me/,Recent Graduate|Undergraduate|Graduate,Full-time|Internships|Co-op,Engineering & Technology,Not specified,Project Coordinator|Site Coordinator|Estimating
Neighbourly Pharmacy,https://www.multiplex.global/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer|Part-time,Not specified,Not specified,Not specified
NMG Consulting,https://www.neighbourlypharmacy.ca/,Undergraduate,Full-time,Not specified,Not specified,Not specified
