Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities,Logo
GFT Canada Inc.,https://www.gft.com/ca/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer|Co-op|Part-time,Engineering & Technology|Business & Management,Not specified,Business Analyst|Developer|AI -ML Architect,https://studentlife.utoronto.ca/wp-content/uploads/Gft.jpg
Globotech Inc.,https://globotech-inc.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology,Engineering,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Globotech.jpg
Google,https://www.google.com/about/careers/applications/,Not specified,Co-op|Full-time,Engineering & Technology|Business & Management,"Computer, Information and Internet Services",Not specified,https://studentlife.utoronto.ca/wp-content/uploads/google.jpg
Government of Yukon,https://yukon.ca/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer|Co-op|Part-time,Arts & Science|Health Sciences|Business & Management,Not specified,Audiologists|Speech Language Therapists|Dental Hygienists|Nurses|Social Workers,https://studentlife.utoronto.ca/wp-content/uploads/GovofYukon.jpg
GPTZero,https://gptzero.me/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer,Engineering & Technology|Arts & Science,Not specified,Machine Learning Developer|Software Developer,https://studentlife.utoronto.ca/wp-content/uploads/GPTZero.jpg
Health Sciences North,https://hsnsudbury.ca/en,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Health Sciences,Not specified,Physiotherapist|Occupational Therapist|Medical Radiation Technologist (Nuclear Medicine)|Nurses|Radiation Therapists|Speech Language Pathologist,https://studentlife.utoronto.ca/wp-content/uploads/HealthSciencesNorth.jpg
The Home Depot Canada Inc.,https://www.homedepot.ca/en/home.html,Undergraduate|Graduate,Co-op,Business & Management|Engineering & Technology|Arts & Science,Retail,Technology Intern,https://studentlife.utoronto.ca/wp-content/uploads/HomeDepot.jpg
iA Financial Group,https://ia.ca/individuals,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Part-time|Summer,Engineering & Technology|Business & Management,Not specified,Investment Undergrad Program Intern|IT Analyst,https://studentlife.utoronto.ca/wp-content/uploads/IAFinancial.jpg
IDEMIA,https://www.idemia.com/,Recent Graduates|Undergraduate|Graduate,Internship|Full-time|Part-time,Business & Management|Engineering & Technology,"Computer, Information and Internet Services",Not specified,https://studentlife.utoronto.ca/wp-content/uploads/idemia.jpg
IG Wealth Management,https://www.ig.ca/en,Recent Graduates|Undergraduate|Graduate,Co-op|Full-time|Internship|Summer|Part-time,Business & Management|Arts & Science,Banking & Financial Services,Financial Planners|Financial Planners Internships,https://studentlife.utoronto.ca/wp-content/uploads/IGWealthManagement.jpg
Imperial Oil/ExxonMobil,https://www.imperialoil.ca/en-CA,Recent Graduates|Undergraduate|Graduate|Internships|Co-ops,Not specified,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Imperial-1.jpg
Isaac Operations,https://www.isaacteam.com/,Undergraduate|Graduate|Recent Graduates,Full-time,Engineering & Technology|Business & Management,Management Consulting,Operational Consultant,https://studentlife.utoronto.ca/wp-content/uploads/Isaac.jpg
Kativik Regional Government,https://www.krg.ca/en-CA/,Recent Graduates|Undergraduate|Graduate,Full-time,Business & Management|Engineering & Technology|Law|Social Sciences|Arts & Science,Not specified,Buyer|Communication Officer|HR Advisors|Legal Advisor|Project Managers|Land Use Planner|Assistant Director Legal,https://studentlife.utoronto.ca/wp-content/uploads/Kativik.jpg
Keyence,https://www.keyence.ca/,Recent Graduates|Undergraduate,Full-time,Business & Management|Engineering & Technology|Arts & Science,Manufacturing,Entry Level Technical Sales|Application Engineering Associate,https://studentlife.utoronto.ca/wp-content/uploads/Keyence-1.jpg
Kinaxis,https://www.kinaxis.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer,Engineering & Technology|Business & Management,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/kinaxis.jpg
Klick Health,https://www.klick.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer|Part-time,Not specified,Health Sciences,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Klick.jpg
LIDD,https://lidd.com/,Undergraduate|Graduate,Internship|Co-op|Full-time,Business & Management|Engineering & Technology,"Supply Chain, Logistics & Transportation",Supply Chain Consultant|Project Manager|Solutions Consultant,https://studentlife.utoronto.ca/wp-content/uploads/LIDD.jpg
Lumentum,https://www.lumentum.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op,Engineering & Technology|Arts & Science,Not specified,Project Manager Analyst|Optical Algorithms|Analytics Engineer|Optical Engineer|Mechanical Designer|Process Quality Engineer|Process Engineer|Software Automation Engineer|Mechanical Designer|Embedded Software Engineers,https://studentlife.utoronto.ca/wp-content/uploads/Lumentum.jpg
