Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities
IG Wealth Management,https://www.ig.ca/en,Recent Graduates|Undergraduate|Graduate,Co-ops|Full-time|Internships|Summer|Part-Time,Business & Management|Arts & Science,Banking & Financial Services,Financial Planners|Financial Planners Internships
Imperial Oil/ExxonMobil,https://www.imperialoil.ca/en-CA,Recent Graduates|Undergraduate|Graduate Full-time|Internships|Co-ops,Not specified,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
Isaac Operations,https://www.isaacteam.com/,Undergraduate|Graduate|Recent Graduates,Full-time,Engineering & Technology|Business & Management,Management Consulting,Operational Consultant
Kativik Regional Government,https://www.krg.ca/en-CA/,Recent Graduates|Undergraduate|Graduate,Full-time,Business & Management|Engineering & Technology|Law|Social Sciences|Arts & Science,Not specified,Buyer|Communication Officer|HR Advisors|Legal Advisor|Project Managers|Land Use Planner|Assistant Director Legal
Keyence,https://www.keyence.ca/,Recent Graduates|Undergraduate,Full-time,Business & Management|Engineering & Technology|Arts & Science,Manufacturing,Entry Level Technical Sales|Application Engineering Associate
Kinaxis,https://www.kinaxis.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer,Engineering & Technology|Business & Management,Not specified,Not specified
Klick Health,https://www.klick.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer|Part-time,Not specified,Health Sciences,Not specified
LIDD,https://lidd.com/,Undergraduate|Graduate,Internships|Co-ops|Full-Time,Business & Management|Engineering & Technology,"Supply Chain, Logistics & Transportation",Supply Chain Consultant|Project Manager|Solutions Consultant
Lumentum,https://www.lumentum.com/en,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops,Engineering & Technology|Arts & Science,Not specified,Project Manager Analyst|Optical Algorithms|Analytics Engineer|Optical Engineer|Mechanical Designer|Process Quality Engineer|Process Engineer|Software Automation Engineer|Mechanical Designer|Embedded Software Engineers
Mackenzie Health,https://www.mackenziehealth.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Health Sciences,Not specified,Registered Nurse|Nurse Practitioner
Magellan Aerospace Corporation,https://magellan.aero/,Recent Graduates|Undergraduate,Full-time|Co-ops,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
Maple Leaf Foods,https://www.mapleleaffoods.com/,Recent Graduates|Undergraduate,Full-time|Internships|Co-ops,All programs,Manufacturing,Leadership Track Program
MDPI,https://www.mdpi.com/,Graduate|Recent Graduates,Full-time,All Programs,Not specified,Assistant Editors|English Editors
MEDAVIE,https://www.medaviebc.ca/en/,Recent Graduate|Undergraduate|Graduate,Full-time|Summer|Co-op,Not specified,Not specified,Not specified
Method,https://www.method.me/,Recent Graduates|Undergraduate,Full-time,Engineering & Technology,Not specified,Not specified
Multiplex,https://www.multiplex.global/,Recent Graduate|Undergraduate|Graduate,Full-time|Internships|Co-op,Engineering & Technology,Not specified,Project Coordinator|Site Coordinator|Estimating
Neighbourly Pharmacy,https://www.neighbourlypharmacy.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer|Part-time,Not specified,Not specified,Not specified
NMG Consulting,https://www.nmg-consulting.com/,Undergraduate,Full-time,Not specified,Not specified,Not specified
Noble Corporation,https://www.noblecorp.com/,Recent Graduate|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology|Business & Management,Not specified,Not specified
Official Languages Programs,https://englishfrench.ca/,Recent Graduate|Undergraduate|Graduate,Part-time,Education,Not specified,Not specified
Okta,https://www.okta.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer,Engineering & Technology|Business & Management,Not specified,Software Engineer|Assurance Analyst|Application Security Engineer|Defensive Cyber Operations|Product Marketing
Ontario Federation of Indigenous Friendship Centres (OFIFC),https://ofifc.org/,Recent Graduates|Undergraduate|Graduate,Full-time,Arts & Sciences|Education|Business & Management,Community & Social Services,Program Advisors|Finance|Post Secondary Instructors|Instructors
Ontario Power Generation,https://www.opg.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops,Not specified,Not specified,Not specified
Parsons Corporation,https://www.parsons.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Engineering & Technology,Engineering,Associate Engineer|Intern
PC Financial,https://www.pcfinancial.ca/en/,Recent Graduate|Undergraduate|Graduate,Co-ops|Summer|Part-time,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
PERI Formwork Systems Inc.,https://www.peri.ca/en,Recent Graduate|Undergraduate,Full-time|Co-ops,Engineering & Technology,Engineering,Designer|Senior Designer|Engineer
ProSapient,https://www.prosapient.com/,Recent Graduate|Undergraduate,Full-time,Arts & Sciences|Business & Management,"Computer, Information and Internet Services",Client Services Associate
Public Service Commission of Canada,https://www.canada.ca/en/public-service-commission.html,Recent Graduate|Undergraduate|Graduate,Full-time|Internships|Co-op|Summer|Part-time,Not specified,Not specified,Not specified
Rakuten Kobo,https://www.kobo.com/ca/en,Not specified,Not specified,Not specified,Not specified,Not specified
Revolut,https://www.revolut.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer,Business & Management|Engineering & Technology|Arts & Science,Banking & Financial Services,Developers|Application Consultants|Project Coordinators|Solution Experts
Riipen,https://www.riipen.com/,Graduate|Undergraduate,Short term projects,All programs,Education,Riipen FuturePath Short Term Projects
S&C Electric Canada Ltd.,https://www.sandc.com/,Undergraduate,Co-ops,Engineering & Technology|Business & Management,Not specified,Not specified
Sapling Financial Consultants,https://saplingfinancial.com/,Recent Graduate|Graduate,Full-time,Engineering & Technology|Business & Management,Not specified,Analyst|Consultant
Scarborough Health Network (SHN),https://www.shn.ca/,Recent Graduate|Undergraduate|Graduate,Full-time|Internships|Co-op|Part-time,Health Sciences,Not specified,Registered Nurse|Clinical Practice Leader|Physician Assistant|Medical Radiation Therapist|Respiratory Therapist|Nurse Practitioner
SOTI,https://soti.net/,Not specified,Not specified,Not specified,Not specified,Not specified
Sunlife Financial,https://www.sunlife.ca/en/,Recent Graduates|Undergraduate|Graduate,Full-time,Not specified,Not specified,Not specified
Sunnybrook Health Sciences Centre,https://sunnybrook.ca/,Recent Graduate|Undergraduate|Graduate,Full-time|Part-time,Health Sciences|Life Sciences,Not specified,Not specified
Telus,https://www.telus.com/,Recent Graduate|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology|Business & Management,Not specified,Technology|Engineering Co-op|Technology Specialist Graduate Technology Leadership Program
Veeva Systems,https://www.veeva.com/,Recent Graduates|Undergraduate|Graduate,Co-ops|Full-time|Internships,Engineering & Technology,"Computer, Information and Internet Services",Not specified
Wolf Advanced Technology,https://wolfadvancedtechnology.com/,Undergraduate|Graduate|Recent Graduate,Internships|Co-ops|Full-time|Part-time,Engineering & Technology,Engineering,Engineers (All Types)
WSIB,https://www.wsib.ca/,Recent Graduates|Undergraduate|Graduate,Co-ops|Full-time|Summer|Internships|Part-time,All Programs,Government,Summer student|Customer Service Representative Case Manager|Nurse Consultant|Coop Student
